raw_id,biz_name_raw,address_raw,pin,pan,gst,phone
SHP_245298,Natt LLC,"06/08
Munshi Road, Belagavi",566621,VSKPY7115X,29NTRFB6511K1ZA,04796368522
SHP_28a3b5,Shukla-Shan ENT,"91/785
Sengupta Ganj, Belagavi",565261,OHYIP6789J,29SCNDT7250P1ZT,5139503421
SHP_2ee7b6,Manda Group,"376, Tank Marg, Belagavi",570241,VUBIG6966F,29OABXB0578G1ZJ,06835564054
SHP_dfd5fd,"Goel, Bassi and Deshpande","520, Dewan Ganj, Hubballi",583061,GEGTL3779P,29ZIPMY4583W1ZD,+911176099923
SHP_f809d9,Singh-Trivedi ENT,"57/78, Naidu, Belagavi",579841,YPLOH9567L,29ZIPVN5791I1ZB,6797446379
SHP_afe9d8,Srinivas ENT,"93
Samra Ganj, Hubballi",571061,ABZCJ0511W,29DYERA9376B1ZJ,+914895599095
SHP_3da523,Prashad-Kibe ENT,"966, Sachdev Marg, Bengaluru",571881,LYJRX6084V,,05014576858
SHP_ce6646,"Halder, ENT","01
Bains Circle, Bengaluru",561741,,29SVUMF0122J1ZJ,+914222103270
SHP_536974,Bala-Bhargava ENT,"H.No. 121
Parekh Ganj, Hubballi",587601,VXSGS5034C,29JVPHQ4990H1ZS,05364672617
SHP_319618,"Ravi, ENT","H.No. 99, Shah Street, Mysuru",561801,DGTIB7426E,29RGEVW9656D1ZP,06546424158
SHP_f1842d,Issac Ltd,"H.No. 491
Bhakta Path, Bengaluru",577661,FRLUI7921I,29QHMRK0533X1ZV,+917992657115
SHP_bf09ff,Tak-Taneja,"H.No. 379, Raman Road, Hubballi",577301,VIJBQ5073B,29VQUKA7559L1ZS,2499645215
SHP_7d282a,"Baral, ENT","H.No. 848
Singh Ganj, Mangaluru",589661,,29EWZYY4129U1ZA,08729742761
SHP_ec0f54,"Goel, ENT","57/382, Lanka Street, Bengaluru",570521,AHELE8114X,29YULWI5820P1ZU,2123011819
SHP_d5077f,Bhalla Group,"H.No. 861
Kunda Road, Belagavi",579241,ICXVF4197O,29WXURY4110C1ZZ,07602179561
SHP_789227,"Kari, Apte and Sarraf","410, Sawhney Zila, Mysuru",582921,HXWRX4173W,29NMVZC5528W1ZQ,03981204178
SHP_49315a,Krish ENT,"16/53, Shetty Road, Hubballi",573201,PIQYU9848Q,29FAJXB4658M1ZG,08984634351
SHP_7f7c3e,"Patla, Sampath and Dutt","H.No. 067
Venkatesh Zila, Mysuru",571321,KXOMS1285Z,29JGAHR0481O1ZR,+912949413979
SHP_4b3721,Gokhale Ltd,"H.No. 738, Sunder, Belagavi",564441,MBBPX1035W,29QBAWC1551Z1ZT,8029026664
SHP_b13e54,Kala-Pau,"03, Rai Circle, Mysuru",584721,RWLWN4970Z,29PULBT2022M1ZC,+913546668881
SHP_03f2f5,Divan LLC,"595, Gokhale Circle, Bengaluru",570561,YZBHA2906E,29REKVL6944E1ZL,2845963543
SHP_13a96a,"Anand, Mander and Varkey","94/540
Bhagat Marg, Mysuru",585341,LKYSS9386B,29FXHJP7369F1ZH,+919697549153
SHP_bfbbfa,"Deshpande, ENT","89
Wable Circle, Mangaluru",578561,OFIDN4832V,29VXELK8757C1ZS,+911416136169
SHP_9f3336,Shere-Khurana,"82/168
Seth Zila, Hubballi",561321,USPCR8009B,29ETKHD5033W1ZT,01661477020
SHP_5f82ca,Dani-Soni,"H.No. 483, Bhalla Circle, Mysuru",568181,QPIVB4976U,29XBDUZ5895C1ZS,09804315218
SHP_aafe73,Brahmbhatt and Sons,"H.No. 380
Tara Chowk, Bengaluru",588881,RPADT2110X,29TGVBP5888K1ZP,03224326576
SHP_a1e26f,Hegde-Chand ENT,"34/209, Soni Zila, Mangaluru",571581,SBCOO2366I,29MUVET0922Y1ZL,4860669352
SHP_fe3dd3,"Chada, Sarraf and Dave","20/08, Bhattacharyya, Belagavi",565621,KNUSA4812J,29GSFOI1851B1ZA,+916097697356
SHP_e6da4d,Palla Group,"21
Anne Chowk, Mangaluru",581021,GTJLI0961B,,+915063372248
SHP_8e7b36,Hayre-Rana ENT,"61/628
Roy Marg, Mangaluru",561581,,29CIFCO3721T1ZL,09172800565
SHP_571e50,Solanki and Sons,"H.No. 95, Ramanathan Circle, Hubballi",562321,,29HNOEE3279K1ZZ,03739343622
SHP_9fe964,Sridhar PLC,"19/36
Ray Ganj, Belagavi",576061,,29BNZTX9534Y1ZO,7019561949
SHP_2cdcf1,Shankar ENT,"61/37, Thakur Chowk, Mangaluru",581941,WJUDY3087K,29AWRNR1718Z1ZL,+912229496463
SHP_ee4827,"Kaur, ENT","658
Karpe Zila, Mysuru",563661,NZQME8675J,,0190311642
SHP_9b2073,Swaminathan-Mukhopadhyay ENT,"75/54, Narayan Street, Hubballi",562501,DYAII6454Q,29CDWLI3916P1ZH,2011602116
SHP_d7feb9,Suresh-Randhawa ENT,"14/572, Vohra Nagar, Bengaluru",574821,FGRZH6924T,29GQBFY3423V1ZX,9291651862
SHP_b5cfcb,Dubey LLC,"41/990, Bath Zila, Belagavi",567661,MZUVL6681D,29KZSBH4162E1ZU,03183693796
SHP_ee8ce7,Tak-Chawla ENT,"43/76, Amble Zila, Hubballi",585641,ZRVZS0427Y,29DAWUD7947Y1ZY,01030488227
SHP_25b3c1,Madan Inc,"H.No. 785, Agarwal Ganj, Bengaluru",578801,RVFIL4633D,29SYTXJ6364L1ZT,+912064364982
SHP_584e06,Shetty PLC,"272
Majumdar Street, Hubballi",583361,XWHKI9341G,29CFCMA5142H1ZX,06825158754
SHP_c4d0af,Chahal Group,"H.No. 61, Sule Nagar, Mysuru",576281,DENFZ8079E,29XDBSJ6461W1ZI,0545208512
SHP_197bd9,Mody-Dora,"04, Guha Road, Hubballi",579301,GXLEW0070Y,,+917789682973
SHP_29a896,Acharya-Maharaj,"76/796, Sankar Ganj, Mangaluru",578841,PHPHN7072P,29HNOPY8993V1ZB,2097824537
SHP_993851,Kapadia-Garg,"H.No. 509, Bhargava Ganj, Bengaluru",564141,KFSMO6442X,29ICISG1559Q1ZS,+913636630193
SHP_ce7d70,Bhakta LLC,"H.No. 712
Handa Marg, Bengaluru",569101,JPPGE4079A,29TMAIC3016L1ZJ,1860888385
SHP_523fdb,Vala-Dugar,"H.No. 89
Bhattacharyya Path, Mysuru",577941,FZAMQ4807L,29CYHOR2633C1ZF,+910111322862
